" 

NEW OFFICE IN WATSONVILLE, CA

We are excited to announce that we are opening a new office in the Central Coast! Many small, rural communities of color in this region face similar issues to the San Joaquin Valley, including nitrate contamination of groundwater supplies.","September 17, 2018","['Fresno', 'Watsonville', 'Porterville', 'Sacramento', 'Visalia']","['Sacramento', 'Fresno']",August 2018 eNews - Community Water Center,https://www.communitywatercenter.org/august2018enews
" ""Schools in high-poverty areas, including the Central Valley in particular, had recurring violations, from arsenic, bacterial contaminants, nitrates, and disinfection byproducts.","January 14, 2015",['Davis'],[],"In California's Poorest Towns, Tap Water's Legacy Is Toxic for Latinos - Community Water Center",https://www.communitywatercenter.org/in_california_s_poorest_towns_tap_water_s_legacy_is_toxic_for_latinos
" ""Schools in high-poverty areas, including the Central Valley in particular, had recurring violations, from arsenic, bacterial contaminants, nitrates, and disinfection byproducts.","January 14, 2015",['Davis'],[],"In California's Poorest Towns, Tap Water's Legacy Is Toxic for Latinos - Community Water Center",https://www.communitywatercenter.org/in_california_s_poorest_towns_tap_water_s_legacy_is_toxic_for_latinos
" ""Schools in high-poverty areas, including the Central Valley in particular, had recurring violations, from arsenic, bacterial contaminants, nitrates, and disinfection byproducts.","January 14, 2015",['Davis'],[],"In California's Poorest Towns, Tap Water's Legacy Is Toxic for Latinos - Community Water Center",https://www.communitywatercenter.org/in_california_s_poorest_towns_tap_water_s_legacy_is_toxic_for_latinos
"5 miles of the borders of disadvantaged unincorporated communities (DUCs) in Fresno, Kern, Kings, Madera and Tulare Counties and collected information on nitrate levels on dairy facilities and in on-farm wells, as well as dairies with General Order violations.","December 15, 2014","['Stanford', 'Tulare', 'Madera']","['Tulare', 'Madera', 'Lake']",New Report on Dairy Risk to Communities - Community Water Center,https://www.communitywatercenter.org/new_report_on_dairy_risk_to_communities
"
Based on these findings, we recommend that the Regional Board strengthen existing regulations to control nitrate leaching, particularly in dairies near high-risk communities.","December 15, 2014","['Stanford', 'Tulare', 'Madera']","['Tulare', 'Madera', 'Lake']",New Report on Dairy Risk to Communities - Community Water Center,https://www.communitywatercenter.org/new_report_on_dairy_risk_to_communities
 The small farmworker community in California’s Central Valley suffers from high levels of arsenic and other contaminants in its water.,"October 12, 2014","['Sacramento', 'Tulare']","['Sacramento', 'Tulare', 'Marin', 'Lake']","Jerry Brown, Smart and Prepared, Responds to California’s Drought Emergency - Community Water Center",https://www.communitywatercenter.org/jerry_brown_drought
" When pumped from deeper depths, groundwater is more likely to be contaminated with salts, arsenic, chromium, and other naturally occurring toxins.","September 20, 2014","['Tulare', 'Monson']",['Tulare'],When The Water Runs Out - Community Water Center,https://www.communitywatercenter.org/when_the_water_runs_out
" The caution is warranted; the water is most likely laden with nitrates, phosphates, and other pesticides that could be harmful if ingested.","September 20, 2014","['Tulare', 'Monson']",['Tulare'],When The Water Runs Out - Community Water Center,https://www.communitywatercenter.org/when_the_water_runs_out
" The caution is warranted; the water is most likely laden with nitrates, phosphates, and other pesticides that could be harmful if ingested.","September 20, 2014","['Tulare', 'Monson']",['Tulare'],When The Water Runs Out - Community Water Center,https://www.communitywatercenter.org/when_the_water_runs_out
" At times, it was down to a trickle, coming out of the faucets and it had high levels of nitrates.","September 18, 2014","['Tulare', 'Martinez', 'Seville', 'Dinuba']",['Tulare'],Seville Has Safe Water! - Community Water Center,https://www.communitywatercenter.org/seville_safe_water
 For years Seville suffered high nitrates in their 100-year-old water system.,"September 18, 2014","['Tulare', 'Martinez', 'Seville', 'Dinuba']",['Tulare'],Seville Has Safe Water! - Community Water Center,https://www.communitywatercenter.org/seville_safe_water
 The community had been struggling for years with high levels of nitrates and leaky pipes.,"September 18, 2014","['Tulare', 'Martinez', 'Seville', 'Dinuba']",['Tulare'],Seville Has Safe Water! - Community Water Center,https://www.communitywatercenter.org/seville_safe_water
"""
School Superintendent Chris Kemper notes that because the water is contaminated with nitrates from fertilizer and septic systems, the children are not allowed to drink it.","September 18, 2014","['Tulare', 'Martinez', 'Seville', 'Dinuba']",['Tulare'],Seville Has Safe Water! - Community Water Center,https://www.communitywatercenter.org/seville_safe_water
" At times, it was down to a trickle, coming out of the faucets and it had high levels of nitrates.","September 18, 2014","['Tulare', 'Martinez', 'Seville', 'Dinuba']",['Tulare'],Seville Has Safe Water! - Community Water Center,https://www.communitywatercenter.org/seville_safe_water
 For years Seville suffered high nitrates in their 100-year-old water system.,"September 18, 2014","['Tulare', 'Martinez', 'Seville', 'Dinuba']",['Tulare'],Seville Has Safe Water! - Community Water Center,https://www.communitywatercenter.org/seville_safe_water
 The community had been struggling for years with high levels of nitrates and leaky pipes.,"September 18, 2014","['Tulare', 'Martinez', 'Seville', 'Dinuba']",['Tulare'],Seville Has Safe Water! - Community Water Center,https://www.communitywatercenter.org/seville_safe_water
"""
School Superintendent Chris Kemper notes that because the water is contaminated with nitrates from fertilizer and septic systems, the children are not allowed to drink it.","September 18, 2014","['Tulare', 'Martinez', 'Seville', 'Dinuba']",['Tulare'],Seville Has Safe Water! - Community Water Center,https://www.communitywatercenter.org/seville_safe_water
 The district will be installing filters on water fountains at the El Camino Real Elementary School to filter out arsenic and nitrates.,"September 10, 2014","['Camino', 'Arvin', 'Lamont', 'Bakersfield']",['Kern'],Students in Arvin to get clean water - Community Water Center,https://www.communitywatercenter.org/arvin_schools_media
 The district will be installing filters on water fountains at the El Camino Real Elementary School to filter out arsenic and nitrates.,"September 10, 2014","['Camino', 'Arvin', 'Lamont', 'Bakersfield']",['Kern'],Students in Arvin to get clean water - Community Water Center,https://www.communitywatercenter.org/arvin_schools_media
 The district will be installing filters on water fountains at the El Camino Real Elementary School to filter out arsenic and nitrates.,"September 10, 2014","['Camino', 'Arvin', 'Lamont', 'Bakersfield']",['Kern'],Students in Arvin to get clean water - Community Water Center,https://www.communitywatercenter.org/arvin_schools_media
"
One of the Poplar Community Services District’s three wells is unused because it pumps water contaminated with nitrates, said Ryan Jensen, community organizer with the Community Water Center in Visalia, a nonprofit that helps disadvantaged communities meet their water needs.","August 15, 2014","['Tulare', 'Ducor', 'Poplar', 'Visalia']",['Tulare'],"In dry California, water goes to those who drill the deepest - Community Water Center",https://www.communitywatercenter.org/in_dry_california_water_goes
"
One of the Poplar Community Services District’s three wells is unused because it pumps water contaminated with nitrates, said Ryan Jensen, community organizer with the Community Water Center in Visalia, a nonprofit that helps disadvantaged communities meet their water needs.","August 15, 2014","['Tulare', 'Ducor', 'Poplar', 'Visalia']",['Tulare'],"In dry California, water goes to those who drill the deepest - Community Water Center",https://www.communitywatercenter.org/in_dry_california_water_goes
"""
School Superintendent Chris Kemper notes that because the water is contaminated with nitrates from fertilizer and septic systems, the children are not allowed to drink it.","August 08, 2014","['Tulare', 'Martinez', 'Visalia', 'Seville']",['Tulare'],New Water Well for Seville Residents - Community Water Center,https://www.communitywatercenter.org/new_well_for_seville
"
""We have some issues with the quality of water, nitrates primarily but quantity is a big issue so people can flush their toilets, take baths and that sort of thing,"" said Worthley.","August 08, 2014","['Tulare', 'Martinez', 'Visalia', 'Seville']",['Tulare'],New Water Well for Seville Residents - Community Water Center,https://www.communitywatercenter.org/new_well_for_seville
"""
School Superintendent Chris Kemper notes that because the water is contaminated with nitrates from fertilizer and septic systems, the children are not allowed to drink it.","August 08, 2014","['Tulare', 'Martinez', 'Visalia', 'Seville']",['Tulare'],New Water Well for Seville Residents - Community Water Center,https://www.communitywatercenter.org/new_well_for_seville
"
""We have some issues with the quality of water, nitrates primarily but quantity is a big issue so people can flush their toilets, take baths and that sort of thing,"" said Worthley.","August 08, 2014","['Tulare', 'Martinez', 'Visalia', 'Seville']",['Tulare'],New Water Well for Seville Residents - Community Water Center,https://www.communitywatercenter.org/new_well_for_seville
 The water district has an old nitrate-contaminated well and cracked pipes that allow sand to flow through residential taps.,"August 08, 2014","['Tulare', 'Seville', 'Dinuba']",['Tulare'],Aging water system gets new well in Seville - Community Water Center,https://www.communitywatercenter.org/new_well_in_seville
"
Even before the wells started going dry, Monson residents had to buy drinking water because of nitrate contamination that made made their well water unhealthy to drink.","August 07, 2014","['Tulare', 'Visalia', 'Monson', 'Porterville']",['Tulare'],Wells in Tulare County Are Going Dry - Community Water Center,https://www.communitywatercenter.org/wells_in_tulare_county_are_going_dry
" Expect to hear more about bacteria and nitrate contamination, they tell me.","July 14, 2014","['Seville', 'Tulare', 'Mendota', 'Stratford', 'Parkwood', 'Madera']","['Tulare', 'Kings', 'Madera']",Rural San Joaquin Valley reeling from drought - Community Water Center,https://www.communitywatercenter.org/rural_san_joaquin_valley_reeling_from_drought
" The community well is old, water pressure constantly drops and the water is known to have high levels of nitrates in it.","July 10, 2014",['Tulare'],['Tulare'],Tulare County trying to fix the water problem in Seville - Community Water Center,https://www.communitywatercenter.org/tulare_county_trying_to_fix_the_water_problem_in_seville
" The community well is old, water pressure constantly drops and the water is known to have high levels of nitrates in it.","July 10, 2014",['Tulare'],['Tulare'],Tulare County trying to fix the water problem in Seville - Community Water Center,https://www.communitywatercenter.org/tulare_county_trying_to_fix_the_water_problem_in_seville
"
Supervisor Allen Ishida noted that Tulare County has the highest nitrate contamination rates for wells in the state.","July 09, 2014","['Tulare', 'Seville']",['Tulare'],"County seeking $500,000 to pay for emergency water - Community Water Center",https://www.communitywatercenter.org/county_seeking_five_hundred_thousand_to_pay_for_emergency_water
"
In 2009, Tulare County assumed temporary receivership of the Seville Water Company, which was dealing with a failing system that included cracked pipes that allowed sand to flow through residential taps, nitrate contamination in the town’s well and a lack of money to fix the costly problems.","July 09, 2014","['Tulare', 'Seville']",['Tulare'],"County seeking $500,000 to pay for emergency water - Community Water Center",https://www.communitywatercenter.org/county_seeking_five_hundred_thousand_to_pay_for_emergency_water
"
On May 30, the California Department of Public Health listed the Seville water system as experiencing a drought-related water emergency, and on June 28 a drinking water warning was issued to residents of the tiny, north-county town after tests showed nitrate levels the well exceeded maximum levels allowed by the state.","July 09, 2014","['Tulare', 'Seville']",['Tulare'],"County seeking $500,000 to pay for emergency water - Community Water Center",https://www.communitywatercenter.org/county_seeking_five_hundred_thousand_to_pay_for_emergency_water
" The town's well now is pulling in nitrate-laced water, meaning the system is useless for drinking and cooking.","July 09, 2014","['Tulare', 'Seville']",['Tulare'],"Water crisis in Tulare County's Seville trigger state help, short-term fixes - Community Water Center",https://www.communitywatercenter.org/water_crisis_in_tulare_countys_seville_trigger_state_help_short_term_fixes
"
Data on logs also show at what depth wells are perforated to tap into groundwater – a detail that can help reveal how agricultural chemicals, such as nitrates and pesticides, flow from one part of an aquifer system to another.","July 06, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Sacramento', 'Modesto', 'Denair', 'Davis']","['Sacramento', 'Kings', 'Lake']","The Public Eye: As drought persists, frustration mounts over secrecy of California's well drilling logs - Community Water Center",https://www.communitywatercenter.org/the_public_eye_as_drought_persists_frustration_mounts_over_secrecy_of_california_s_well_drilling_logs
"
Data on logs also show at what depth wells are perforated to tap into groundwater – a detail that can help reveal how agricultural chemicals, such as nitrates and pesticides, flow from one part of an aquifer system to another.","July 06, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Sacramento', 'Modesto', 'Denair', 'Davis']","['Sacramento', 'Kings', 'Lake']","The Public Eye: As drought persists, frustration mounts over secrecy of California's well drilling logs - Community Water Center",https://www.communitywatercenter.org/the_public_eye_as_drought_persists_frustration_mounts_over_secrecy_of_california_s_well_drilling_logs
" The problem of water contamination in the Central Valley has existed for decades, but the situation is exacerbated by the drought because less water means higher concentrations of nitrate and arsenic (among other contaminants).","June 15, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many",['Tulare'],['Tulare'],Dried up: Poverty in America's drought lands - Community Water Center,https://www.communitywatercenter.org/dried_up_poverty_in_americas_drought_lands
" The problem of water contamination in the Central Valley has existed for decades, but the situation is exacerbated by the drought because less water means higher concentrations of nitrate and arsenic (among other contaminants).","June 15, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many",['Tulare'],['Tulare'],Dried up: Poverty in America's drought lands - Community Water Center,https://www.communitywatercenter.org/dried_up_poverty_in_americas_drought_lands
" Those who do have water have to deal with pollution from nitrate, which is linked to blue baby syndrome, kidney disease and other maladies.","June 11, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Martinez', 'Sutter']","['Sutter', 'Sierra']",Opinion: Why I'm planning to kayak (and walk) America's 'most endangered' river - Community Water Center,https://www.communitywatercenter.org/opinion_why_im_planning_to_kayak_and_walk_americas_most_endangered_river
 She and her husband use a $900 water filter/robot (it looks like a miniature version of Eve from WALL-E) to remove the nitrates from the water that comes out of their sink.,"June 11, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Martinez', 'Sutter']","['Sutter', 'Sierra']",Opinion: Why I'm planning to kayak (and walk) America's 'most endangered' river - Community Water Center,https://www.communitywatercenter.org/opinion_why_im_planning_to_kayak_and_walk_americas_most_endangered_river
 She and her husband use a $900 water filter/robot (it looks like a miniature version of Eve from WALL-E) to remove the nitrates from the water that comes out of their sink.,"June 11, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Martinez', 'Sutter']","['Sutter', 'Sierra']",Opinion: Why I'm planning to kayak (and walk) America's 'most endangered' river - Community Water Center,https://www.communitywatercenter.org/opinion_why_im_planning_to_kayak_and_walk_americas_most_endangered_river
" Boiling water may kill things like bacteria and pathogens, but often concentrates other contaminants like nitrate or arsenic, making those problems worse.","May 04, 2014",[],[],What's in Your Water? - Community Water Center,https://www.communitywatercenter.org/whats_in_your_water
" Boiling water may kill things like bacteria and pathogens, but often concentrates other contaminants like nitrate or arsenic, making those problems worse.","May 04, 2014",[],[],What's in Your Water? - Community Water Center,https://www.communitywatercenter.org/whats_in_your_water
"”
Coal ash contains arsenic, mercury, lead, thallium, and other dangerous contaminants.","February 17, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tulare', 'Davis', 'Salinas', 'Jackson', 'Elk']","['Tulare', 'Lake']",Water in America: Is It Safe to Drink? - Community Water Center,https://www.communitywatercenter.org/water_in_america_is_it_safe_to_drink
"
In a 2012 report prepared for the California State Water Control Board, scientists from the University of California at Davis found that about 254,000 people in the Tulare Lake Basin and Salinas Valley are currently at risk for nitrate contamination of their drinking water.","February 17, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tulare', 'Davis', 'Salinas', 'Jackson', 'Elk']","['Tulare', 'Lake']",Water in America: Is It Safe to Drink? - Community Water Center,https://www.communitywatercenter.org/water_in_america_is_it_safe_to_drink
" In one of the nation’s most productive farming regions, nitrates from heavily fertilized fields leach into the groundwater.","February 17, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tulare', 'Davis', 'Salinas', 'Jackson', 'Elk']","['Tulare', 'Lake']",Water in America: Is It Safe to Drink? - Community Water Center,https://www.communitywatercenter.org/water_in_america_is_it_safe_to_drink
"
As a result of the current drought, farmers are having to rely on groundwater to irrigate their fields—which inevitably raises the concentration of nitrates in the water left in the ground.","February 17, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tulare', 'Davis', 'Salinas', 'Jackson', 'Elk']","['Tulare', 'Lake']",Water in America: Is It Safe to Drink? - Community Water Center,https://www.communitywatercenter.org/water_in_america_is_it_safe_to_drink
"” Exposures to high levels of nitrates can cause death, miscarriages, and blue baby syndrome, she said.","February 17, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tulare', 'Davis', 'Salinas', 'Jackson', 'Elk']","['Tulare', 'Lake']",Water in America: Is It Safe to Drink? - Community Water Center,https://www.communitywatercenter.org/water_in_america_is_it_safe_to_drink
" In one of the nation’s most productive farming regions, nitrates from heavily fertilized fields leach into the groundwater.","February 17, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tulare', 'Davis', 'Salinas', 'Jackson', 'Elk']","['Tulare', 'Lake']",Water in America: Is It Safe to Drink? - Community Water Center,https://www.communitywatercenter.org/water_in_america_is_it_safe_to_drink
"
As a result of the current drought, farmers are having to rely on groundwater to irrigate their fields—which inevitably raises the concentration of nitrates in the water left in the ground.","February 17, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tulare', 'Davis', 'Salinas', 'Jackson', 'Elk']","['Tulare', 'Lake']",Water in America: Is It Safe to Drink? - Community Water Center,https://www.communitywatercenter.org/water_in_america_is_it_safe_to_drink
"” Exposures to high levels of nitrates can cause death, miscarriages, and blue baby syndrome, she said.","February 17, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tulare', 'Davis', 'Salinas', 'Jackson', 'Elk']","['Tulare', 'Lake']",Water in America: Is It Safe to Drink? - Community Water Center,https://www.communitywatercenter.org/water_in_america_is_it_safe_to_drink
" In adults, long-term exposure to nitrates can lead to the formation of carcinogenic compounds called nitrosamines, believed to contribute to elevate the likelihood of various forms of cancer.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
" A February report from the State Water Resources Control Board identified 31 principal contaminants, including arsenic, uranium, perchlorate and pesticide residues in groundwater serving 21 million Californians.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
"
Kettleman’s groundwater is contaminated with arsenic at an average of 12.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
 Yet an information sheet on arsenic from the California Office of Environmental Health Hazard Assessment suggests that long-term ingestion of arsenic at levels below the legal limit have been shown to increase risk of certain kinds of cancer.,"February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
"• Further south, the state’s Central Valley has become a great dumping ground for industrial and agricultural toxins – pesticides, fertilizers and other forms of industrial waste contaminate municipal and private wells with nitrates.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
"
The water systems tap into aquifers contaminated with nitrates, a constituent of of synthetic fertilizer and manure, and other agricultural contaminants.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
" A 2012 report from the University of California at Davis found that 254,000 people in the Salinas Valley and Tulare Basin, two major agricultural regions, are at risk of nitrate contamination.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
" Of the nitrates seeping into the Central Valley’s groundwater, a full 96 percent comes from the region’s croplands, the report found.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
"
According to Peter Weyer, associate director of the University of Iowa’s Center for Health Effects of Environmental Contamination, nitrates are often seen as an indicator of “overall” water quality – and high levels can indicate the presence of other microbial or organic contaminants.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
